system:index,flood_label,.geo
1_0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.319769048227898,6.4019786195703885]}"
1_1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.265061647425019,6.431353529361097]}"
1_2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.3052163406251616,6.459380966225626]}"
1_3,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2806923333686986,6.501691616107656]}"
1_4,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2998264489204447,6.404404070837511]}"
1_5,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.3133011781822375,6.406829522104633]}"
1_6,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.298478975994265,6.489833854357277]}"
1_7,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.220325546275867,6.480401543874023]}"
1_8,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2723380012263874,6.455338547447088]}"
1_9,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.314379156523181,6.402787103326096]}"
1_10,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2779973875163404,6.52217320458558]}"
1_11,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2154746437416213,6.4599199553960975]}"
1_12,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.299017965164737,6.488216886845862]}"
1_13,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.3052163406251616,6.525946128778882]}"
1_14,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.25266489650417,6.521095226244637]}"
1_15,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.313840167352709,6.447523204475248]}"
1_16,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.227601900077235,6.476089630510249]}"
1_17,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.255898831527,6.411680424638879]}"
1_18,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2459275318732734,6.4561470312027955]}"
1_19,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.235147748463839,6.521903710000345]}"
1_20,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.21816958959398,6.440785839844351]}"
1_21,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2567073152827075,6.4523741070094935]}"
1_22,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.283387279221057,6.490911832698221]}"
1_23,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2534733802598774,6.42919757267921]}"
1_24,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2472750047994525,6.468274287538409]}"
1_25,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.3035993731137467,6.408446489616049]}"
1_26,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.246197026458509,6.520556237074166]}"
1_27,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2553598423565284,6.506812013227137]}"
1_28,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.3052163406251616,6.469891255049824]}"
1_29,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.3146486511084166,6.436743421065814]}"
1_30,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.257515799038415,6.450757139498078]}"
1_31,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.248352983140396,6.453452085350437]}"
1_32,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.250778434407519,6.511932410346618]}"
1_33,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2701820445445002,6.452913096179965]}"
1_34,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2680260878626135,6.430814540190625]}"
1_35,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2696430553740288,6.467196309197465]}"
1_36,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.25266489650417,6.488486381431098]}"
1_37,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.29362807346002,6.508159486153316]}"
1_38,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.3227334886654925,6.440785839844351]}"
1_39,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2677565932773778,6.512201904931854]}"
1_40,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.25266489650417,6.436204431895342]}"
1_41,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2529343910894055,6.436473926480578]}"
1_42,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2561683261122356,6.47150822256124]}"
1_43,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2362257268047823,6.514627356198976]}"
1_44,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.291741611363369,6.487138908504919]}"
1_45,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.281500817124406,6.498188186499589]}"
1_46,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2397291564128485,6.4486011828161915]}"
1_47,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.287160203414359,6.458302987884682]}"
1_48,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.3038688676989825,6.450757139498078]}"
1_49,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2674870986921416,6.509506959079495]}"
1_50,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2302968459295935,6.476628619680721]}"
1_51,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.216283127497329,6.485252446408268]}"
1_52,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2761109254196894,6.458033493299447]}"
1_53,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2362257268047823,6.4472537098900125]}"
1_54,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2715295174706798,6.434048475213455]}"
1_55,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2637141744988396,6.520825731659401]}"
1_56,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.278266882101576,6.5051950457157215]}"
1_57,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.3205775319836057,6.445097753208126]}"
1_58,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2249069542248763,6.456955514958503]}"
1_59,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.250239445237047,6.4779760926069]}"
1_60,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2550903477712922,6.456686020373267]}"
1_61,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.24484955353233,6.521364720829872]}"
1_62,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.310336737744643,6.50007464859624]}"
1_63,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.293358578874784,6.487408403090155]}"
1_64,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.239459661827613,6.450487644912843]}"
1_65,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2882381817553026,6.523251182926524]}"
1_66,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.300904427261388,6.502500099863363]}"
1_67,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2591327665498304,6.497918691914354]}"
1_68,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2960535247271427,6.468274287538409]}"
1_69,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.263444679913604,6.432701002287276]}"
1_70,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.228140889247707,6.467196309197465]}"
1_71,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.233530780952424,6.47150822256124]}"
1_72,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.251856412748462,6.510584937420439]}"
1_73,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2437715751913863,6.4547995582766164]}"
1_74,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2561683261122356,6.472855695487419]}"
1_75,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2817703117096424,6.503039089033835]}"
1_76,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2580547882088866,6.493606778550579]}"
1_77,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2119712141335555,6.460728439151805]}"
1_78,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.3038688676989825,6.48444396265256]}"
1_79,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.232991791781952,6.447792699060484]}"
1_80,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2572463044531794,6.463153890418928]}"
1_81,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2532038856746412,6.435395948139635]}"
1_82,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.3035993731137467,6.52675461253459]}"
1_83,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.244580058947094,6.496032229817702]}"
1_84,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.268834571618321,6.520017247903693]}"
1_85,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.30467735145469,6.440516345259116]}"
1_86,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.270721033714972,6.510315442835203]}"
1_87,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.270990528300208,6.465309847100815]}"
1_88,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.257785293623651,6.441863818185295]}"
1_89,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2637141744988396,6.455608042032324]}"
1_90,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.304138362284218,6.474742157584069]}"
1_91,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.306024824380869,6.4712387279760035]}"
1_92,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.30791128647752,6.491181327283457]}"
1_93,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.3146486511084166,6.402787103326096]}"
1_94,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2623667015726605,6.502769594448599]}"
1_95,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2739549687378022,6.45453006369138]}"
1_96,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.241076629339028,6.470430244220296]}"
1_97,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.27476345249351,6.499805154011004]}"
1_98,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2666786149364344,6.457763998714211]}"
1_99,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.224098470469169,6.508428980738552]}"
1_100,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2588632719645942,6.4397078615034085]}"
1_101,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.244580058947094,6.521903710000345]}"
1_102,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.290933127607661,6.492528800209636]}"
1_103,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2685650770330854,6.45264360159473]}"
1_104,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.313570672767473,6.440785839844351]}"
1_105,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.3227334886654925,6.417609305514068]}"
1_106,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.227871394662471,6.475281146754542]}"
1_107,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.306563813551341,6.442672301941003]}"
1_108,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2938975680452556,6.498188186499589]}"
1_109,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.238651178071905,6.4486011828161915]}"
1_110,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.27476345249351,6.496571218988174]}"
1_111,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2825787954653496,6.506273024056665]}"
1_112,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.314109661937945,6.447523204475248]}"
1_113,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2790753658572838,6.4472537098900125]}"
1_114,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.272607495811623,6.477437103436428]}"
1_115,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.295514535556671,6.406290532934162]}"
1_116,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2381121889014333,6.522981688341288]}"
1_117,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2416156185094995,6.446175731549069]}"
1_118,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2491614668961035,6.454260569106145]}"
1_119,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.232991791781952,6.443211291111474]}"
1_120,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.239190167242377,6.457225009543739]}"
1_121,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.220595040861103,6.459380966225626]}"
1_122,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2717990120559155,6.502230605278127]}"
1_123,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.29686200848285,6.450487644912843]}"
1_124,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2739549687378022,6.519747753318458]}"
1_125,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2416156185094995,6.434856958969163]}"
1_126,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2769194091753966,6.468813276708881]}"
1_127,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.315996124034596,6.436473926480578]}"
1_128,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.253742874845113,6.4246161647302005]}"
1_129,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2806923333686986,6.518400280392278]}"
1_130,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2715295174706798,6.501961110692891]}"
1_131,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.270721033714972,6.4547995582766164]}"
1_132,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.269104066203557,6.45264360159473]}"
1_133,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2755719362492175,6.519478258733222]}"
1_134,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2963230193123785,6.4599199553960975]}"
1_135,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2491614668961035,6.455069052861852]}"
1_136,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2343392647081313,6.449140171986663]}"
1_137,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2440410697766224,6.453991074520909]}"
1_138,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2604802394760095,6.452104612424257]}"
1_139,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2629056907431324,6.432431507702041]}"
1_140,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.227332405491999,6.454260569106145]}"
1_141,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2515869181632264,6.495493240647231]}"
1_142,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2995569543352086,6.459650460810861]}"
1_143,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2903941384371898,6.479593060118315]}"
1_144,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2364952213900184,6.437821399406757]}"
1_145,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.242963091435679,6.502500099863363]}"
1_146,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.254012369430349,6.48579143557874]}"
1_147,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2435020806061505,6.50923746449426]}"
1_148,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.340789625876295,6.415453348832181]}"
1_149,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.285273741317708,6.502769594448599]}"
1_150,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.25266489650417,6.4397078615034085]}"
1_151,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2305663405148293,6.476359125095485]}"
1_152,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2284103838329425,6.475550641339777]}"
1_153,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.255898831527,6.470699738805532]}"
1_154,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.319499553642662,6.447792699060484]}"
1_155,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.304407856869454,6.479593060118315]}"
1_156,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.250239445237047,6.458302987884682]}"
1_157,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2580547882088866,6.4561470312027955]}"
1_158,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.293358578874784,6.494415262306287]}"
1_159,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.231105329685301,6.440516345259116]}"
1_160,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2588632719645942,6.44024685067388]}"
1_161,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.308719770233228,6.458572482469918]}"
1_162,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2553598423565284,6.467196309197465]}"
1_163,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2607497340612452,6.473125190072655]}"
1_164,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.240807134753792,6.454260569106145]}"
1_165,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.222481502957754,6.460189449981334]}"
1_166,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2769194091753966,6.4321620131168045]}"
1_167,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.3092587594036997,6.455069052861852]}"
1_168,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2685650770330854,6.511662915761382]}"
1_169,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.263983669084076,6.43377898062822]}"
1_170,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2604802394760095,6.441863818185295]}"
1_171,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2666786149364344,6.435126453554399]}"
1_172,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.324889445347379,6.422999197218785]}"
1_173,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2685650770330854,6.442402807355767]}"
1_174,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.314379156523181,6.44024685067388]}"
1_175,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.278536376686812,6.45264360159473]}"
1_176,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.256437820697472,6.520556237074166]}"
1_177,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2397291564128485,6.459650460810861]}"
1_178,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.268834571618321,6.445636742378597]}"
1_179,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.29362807346002,6.511662915761382]}"
1_180,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.293089084289548,6.496571218988174]}"
1_181,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2882381817553026,6.456416525788032]}"
1_182,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.248891972310868,6.453182590765201]}"
1_183,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2548208531860565,6.456416525788032]}"
1_184,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2777278929311042,6.430814540190625]}"
1_185,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2696430553740288,6.431623023946333]}"
1_186,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.3186910698869547,6.439168872332937]}"
1_187,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.274493957908274,6.435395948139635]}"
1_188,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.276380420004925,6.464501363345107]}"
1_189,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.233530780952424,6.445097753208126]}"
1_190,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2717990120559155,6.478245587192136]}"
1_191,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.213049192474499,6.459380966225626]}"
1_192,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.258324282794123,6.460458944566569]}"
1_193,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.3170741023755395,6.4434807856967105]}"
1_194,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.220595040861103,6.447523204475248]}"
1_195,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2734159795673308,6.456416525788032]}"
1_196,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.227332405491999,6.473664179243126]}"
1_197,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.244310564361858,6.453991074520909]}"
1_198,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.237303705145726,6.439977356088644]}"
1_199,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.287699192584831,6.4825575005559095]}"
1_200,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2397291564128485,6.5202867424889295]}"
1_201,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2790753658572838,6.479054070947844]}"
1_202,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.294706051800963,6.486869413919683]}"
1_203,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2696430553740288,6.453991074520909]}"
1_204,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2505089398222826,6.458572482469918]}"
1_205,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.270721033714972,6.463153890418928]}"
1_206,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.3165351132050676,6.449140171986663]}"
1_207,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.357498290160918,6.399553168303266]}"
1_208,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2629056907431324,6.455877536617559]}"
1_209,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.291472116778133,6.5089679699090235]}"
1_210,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.254012369430349,6.486060930163975]}"
1_211,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.27476345249351,6.498996670255297]}"
1_212,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.3205775319836057,6.436473926480578]}"
1_213,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2305663405148293,6.475820135925013]}"
1_214,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2701820445445002,6.508428980738552]}"
1_215,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.302251900187567,6.524598655852703]}"
1_216,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2790753658572838,6.430275551020153]}"
1_217,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.240537640168556,6.519208764147986]}"
