osm_id,name,category,risk_tier,risk_label,longitude,latitude
92439803,7th Avenue,road,3.0,High,3.2708327,6.4687238
92439806,Ago Okota Expressway,road,2.0,Moderate,3.3014999,6.4857525
92439807,New Festac Bridge Road,road,4.0,Very High,3.2991116,6.4674159
92439817,Unnamed,road,3.0,High,3.2886051,6.4690723
92439842,5th Avenue,road,2.0,Moderate,3.2796321,6.4693832
113520309,Unnamed,road,3.0,High,3.2307493,6.4528477
113520311,Unnamed,road,4.0,Very High,3.2385462,6.4422331
113521673,Unnamed,road,2.0,Moderate,3.2227641,6.4459624
113522926,Unnamed,road,4.0,Very High,3.3101719,6.4502605
113526400,Unnamed,road,0.0,NoData,3.2935108,6.5230972
134164083,Unnamed,road,0.0,NoData,3.3177188,6.4472825
134164084,Unnamed,road,0.0,NoData,3.3173087,6.4482098
134164085,Unnamed,road,0.0,NoData,3.3173405,6.4483717
134164086,Unnamed,road,0.0,NoData,3.3204764,6.447732
134164088,Unnamed,road,0.0,NoData,3.3169556,6.4498546
134164089,Unnamed,road,0.0,NoData,3.3197773,6.4484628
134164090,Unnamed,road,0.0,NoData,3.3183283,6.4482537
134164092,Unnamed,road,0.0,NoData,3.3197884,6.4484061
134164093,Unnamed,road,4.0,Very High,3.3058045,6.4432072
134164094,Unnamed,road,0.0,NoData,3.3188233,6.4489014
134164095,Unnamed,road,4.0,Very High,3.3152186,6.4467876
134164096,Unnamed,road,0.0,NoData,3.3187914,6.4490232
134164098,Unnamed,road,0.0,NoData,3.3201235,6.4470845
134164101,Unnamed,road,4.0,Very High,3.3136239,6.4453768
134164103,Unnamed,road,0.0,NoData,3.318064,6.4493764
134164104,Unnamed,road,4.0,Very High,3.3151411,6.4468733
134165690,Unnamed,road,0.0,NoData,3.3230496,6.4425195
134165694,Unnamed,road,0.0,NoData,3.3220691,6.4419854
134165696,Unnamed,road,4.0,Very High,3.3221393,6.4413611
134165699,Unnamed,road,0.0,NoData,3.3249268,6.4424689
134165701,Unnamed,road,0.0,NoData,3.3241569,6.4426744
134165704,Unnamed,road,4.0,Very High,3.323161,6.4413864
134165706,Unnamed,road,0.0,NoData,3.3238767,6.4431291
137631591,Unnamed,road,2.0,Moderate,3.2119758,6.4544534
